"ID";"Geslacht";"Leeftijd";"RegioS";"Perioden";"TotaalNieuwvormingen_8";"TotaalEndocrieneVoedingsStofwZ_32";"TotaalPsychischeStoornissen_35";"TotaalZiektenVanHartEnVaatstelsel_43";"TotaalZiektenVanDeKransvaten_44";"k_711AcuutHartinfarct_45";"k_712OverigeZiektenVanDeKransvaten_46";"k_72OverigeHartziekten_47";"TotaalZiektenVanDeAdemhalingsorganen_50";"k_81Griep_51";"k_82Longontsteking_52";"TotaalChronischeAandOndersteLucht_53";"k_831Astma_54";"k_832OvChronAandOndersteLuchtw_55";"k_84OverigeZiektenAdemhalingsorganen_56";"TotaalZiektenSpierenBeendBindwfsl_64";"k_111ReumatoideArtritisEnArtrose_65";"k_112OvZktnSpierenBeendBindwfsl_66"
"490";"T001038";"10000";"PV31  ";"2022JJ00";"    3562";"     290";"    1066";"    3190";"     681";"     416";"     265";"    1185";"    1099";"      21";"     294";"     617";"       9";"     608";"     167";"      96";"      30";"      66"
"491";"T001038";"10000";"PV31  ";"2023JJ00";"    3695";"     278";"    1130";"    3162";"     632";"     373";"     259";"    1188";"    1288";"      60";"     394";"     658";"      12";"     646";"     176";"     101";"      34";"      67"
"492";"T001038";"10000";"PV31  ";"2024JJ00";"    3693";"     233";"    1236";"    3181";"     578";"     337";"     241";"    1209";"    1388";"      68";"     473";"     648";"       9";"     639";"     199";"      89";"      27";"      62"
"519";"T001038";"10000";"CR01  ";"2022JJ00";"     538";"      45";"      96";"     442";"      97";"      52";"      45";"     173";"     145";"       3";"      35";"      80";"       4";"      76";"      27";"       9";"       6";"       3"
"520";"T001038";"10000";"CR01  ";"2023JJ00";"     463";"      57";"     125";"     446";"     108";"      67";"      41";"     162";"     196";"      12";"      57";"      95";"       5";"      90";"      32";"      20";"       7";"      13"
"521";"T001038";"10000";"CR01  ";"2024JJ00";"     522";"      44";"     140";"     447";"      91";"      65";"      26";"     151";"     161";"       5";"      47";"      90";"       6";"      84";"      19";"       9";"       2";"       7"
"548";"T001038";"10000";"CR02  ";"2022JJ00";"     162";"      12";"      57";"     159";"      37";"      24";"      13";"      68";"      39";"       1";"      17";"      15";"       0";"      15";"       6";"       4";"       1";"       3"
"549";"T001038";"10000";"CR02  ";"2023JJ00";"     161";"      15";"      50";"     136";"      27";"      18";"       9";"      51";"      49";"       2";"      10";"      29";"       1";"      28";"       8";"      10";"       2";"       8"
"550";"T001038";"10000";"CR02  ";"2024JJ00";"     145";"      14";"      68";"     131";"      37";"      18";"      19";"      46";"      49";"       0";"      15";"      29";"       1";"      28";"       5";"       7";"       4";"       3"
"577";"T001038";"10000";"CR03  ";"2022JJ00";"    1096";"      99";"     333";"     833";"     194";"     117";"      77";"     316";"     273";"      11";"      69";"     148";"       0";"     148";"      45";"      24";"       5";"      19"
"578";"T001038";"10000";"CR03  ";"2023JJ00";"    1071";"      88";"     311";"     822";"     184";"     117";"      67";"     285";"     331";"       7";"     106";"     169";"       1";"     168";"      49";"      26";"      12";"      14"
"579";"T001038";"10000";"CR03  ";"2024JJ00";"    1127";"      89";"     332";"     846";"     179";"     108";"      71";"     309";"     343";"      20";"     110";"     176";"       9";"     167";"      37";"      35";"      15";"      20"
"606";"T001038";"10000";"CR04  ";"2022JJ00";"     947";"      74";"     250";"     803";"     169";"     101";"      68";"     294";"     200";"      13";"      50";"     101";"       3";"      98";"      36";"      26";"       8";"      18"
"607";"T001038";"10000";"CR04  ";"2023JJ00";"     885";"      76";"     251";"     769";"     152";"      89";"      63";"     293";"     268";"       9";"      90";"     134";"       5";"     129";"      35";"      19";"       7";"      12"
"608";"T001038";"10000";"CR04  ";"2024JJ00";"     985";"      71";"     238";"     755";"     136";"      82";"      54";"     262";"     282";"      13";"     115";"     120";"       4";"     116";"      34";"      18";"       6";"      12"
